video,relative_path,gesture,performer,session,role,is_owner,repetition,device,location,lighting
G1_P01_20260725_own_001.mp4,G1/P01/20260725/G1_P01_20260725_own_001.mp4,G1,P01,20260725,own,1,001,unknown,unknown,unknown
G1_P01_20260725_own_002.mp4,G1/P01/20260725/G1_P01_20260725_own_002.mp4,G1,P01,20260725,own,1,002,unknown,unknown,unknown
G1_P01_20260725_own_003.mp4,G1/P01/20260725/G1_P01_20260725_own_003.mp4,G1,P01,20260725,own,1,003,unknown,unknown,unknown
G1_P01_20260725_own_004.mp4,G1/P01/20260725/G1_P01_20260725_own_004.mp4,G1,P01,20260725,own,1,004,unknown,unknown,unknown
G1_P01_20260725_own_005.mp4,G1/P01/20260725/G1_P01_20260725_own_005.mp4,G1,P01,20260725,own,1,005,unknown,unknown,unknown
G1_P01_20260725_own_006.mp4,G1/P01/20260725/G1_P01_20260725_own_006.mp4,G1,P01,20260725,own,1,006,unknown,unknown,unknown
G1_P01_20260725_own_007.mp4,G1/P01/20260725/G1_P01_20260725_own_007.mp4,G1,P01,20260725,own,1,007,unknown,unknown,unknown
G1_P01_20260725_own_008.mp4,G1/P01/20260725/G1_P01_20260725_own_008.mp4,G1,P01,20260725,own,1,008,unknown,unknown,unknown
G1_P01_20260725_own_009.mp4,G1/P01/20260725/G1_P01_20260725_own_009.mp4,G1,P01,20260725,own,1,009,unknown,unknown,unknown
G1_P01_20260725_own_010.mp4,G1/P01/20260725/G1_P01_20260725_own_010.mp4,G1,P01,20260725,own,1,010,unknown,unknown,unknown
G1_P01_20260725_own_011.mp4,G1/P01/20260725/G1_P01_20260725_own_011.mp4,G1,P01,20260725,own,1,011,unknown,unknown,unknown
G1_P01_20260725_own_012.mp4,G1/P01/20260725/G1_P01_20260725_own_012.mp4,G1,P01,20260725,own,1,012,unknown,unknown,unknown
G1_P01_20260725_own_013.mp4,G1/P01/20260725/G1_P01_20260725_own_013.mp4,G1,P01,20260725,own,1,013,unknown,unknown,unknown
G1_P01_20260725_own_014.mp4,G1/P01/20260725/G1_P01_20260725_own_014.mp4,G1,P01,20260725,own,1,014,unknown,unknown,unknown
G1_P01_20260725_own_015.mp4,G1/P01/20260725/G1_P01_20260725_own_015.mp4,G1,P01,20260725,own,1,015,unknown,unknown,unknown
G1_P01_20260730_own_001.mp4,G1/P01/20260730/G1_P01_20260730_own_001.mp4,G1,P01,20260730,own,1,001,unknown,unknown,unknown
G1_P01_20260730_own_002.mp4,G1/P01/20260730/G1_P01_20260730_own_002.mp4,G1,P01,20260730,own,1,002,unknown,unknown,unknown
G1_P01_20260730_own_003.mp4,G1/P01/20260730/G1_P01_20260730_own_003.mp4,G1,P01,20260730,own,1,003,unknown,unknown,unknown
G1_P01_20260730_own_004.mp4,G1/P01/20260730/G1_P01_20260730_own_004.mp4,G1,P01,20260730,own,1,004,unknown,unknown,unknown
G1_P01_20260730_own_005.mp4,G1/P01/20260730/G1_P01_20260730_own_005.mp4,G1,P01,20260730,own,1,005,unknown,unknown,unknown
G1_P01_20260802_own_001.mp4,G1/P01/20260802/G1_P01_20260802_own_001.mp4,G1,P01,20260802,own,1,001,unknown,unknown,unknown
G1_P01_20260802_own_002.mp4,G1/P01/20260802/G1_P01_20260802_own_002.mp4,G1,P01,20260802,own,1,002,unknown,unknown,unknown
G1_P01_20260802_own_003.mp4,G1/P01/20260802/G1_P01_20260802_own_003.mp4,G1,P01,20260802,own,1,003,unknown,unknown,unknown
G1_P01_20260802_own_004.mp4,G1/P01/20260802/G1_P01_20260802_own_004.mp4,G1,P01,20260802,own,1,004,unknown,unknown,unknown
G1_P01_20260802_own_005.mp4,G1/P01/20260802/G1_P01_20260802_own_005.mp4,G1,P01,20260802,own,1,005,unknown,unknown,unknown
G1_P01_20260803_own_001.mp4,G1/P01/20260803/G1_P01_20260803_own_001.mp4,G1,P01,20260803,own,1,001,unknown,unknown,unknown
G1_P01_20260803_own_002.mp4,G1/P01/20260803/G1_P01_20260803_own_002.mp4,G1,P01,20260803,own,1,002,unknown,unknown,unknown
G1_P01_20260803_own_003.mp4,G1/P01/20260803/G1_P01_20260803_own_003.mp4,G1,P01,20260803,own,1,003,unknown,unknown,unknown
G1_P01_20260803_own_004.mp4,G1/P01/20260803/G1_P01_20260803_own_004.mp4,G1,P01,20260803,own,1,004,unknown,unknown,unknown
G1_P01_20260803_own_005.mp4,G1/P01/20260803/G1_P01_20260803_own_005.mp4,G1,P01,20260803,own,1,005,unknown,unknown,unknown
G1_P01_20260804_own_001.mp4,G1/P01/20260804/G1_P01_20260804_own_001.mp4,G1,P01,20260804,own,1,001,unknown,unknown,unknown
G1_P01_20260804_own_002.mp4,G1/P01/20260804/G1_P01_20260804_own_002.mp4,G1,P01,20260804,own,1,002,unknown,unknown,unknown
G1_P01_20260804_own_003.mp4,G1/P01/20260804/G1_P01_20260804_own_003.mp4,G1,P01,20260804,own,1,003,unknown,unknown,unknown
G1_P01_20260804_own_004.mp4,G1/P01/20260804/G1_P01_20260804_own_004.mp4,G1,P01,20260804,own,1,004,unknown,unknown,unknown
G1_P01_20260804_own_005.mp4,G1/P01/20260804/G1_P01_20260804_own_005.mp4,G1,P01,20260804,own,1,005,unknown,unknown,unknown
G1_P01_20260805_own_001.mp4,G1/P01/20260805/G1_P01_20260805_own_001.mp4,G1,P01,20260805,own,1,001,unknown,unknown,unknown
G1_P01_20260805_own_002.mp4,G1/P01/20260805/G1_P01_20260805_own_002.mp4,G1,P01,20260805,own,1,002,unknown,unknown,unknown
G1_P01_20260805_own_003.mp4,G1/P01/20260805/G1_P01_20260805_own_003.mp4,G1,P01,20260805,own,1,003,unknown,unknown,unknown
G1_P01_20260805_own_004.mp4,G1/P01/20260805/G1_P01_20260805_own_004.mp4,G1,P01,20260805,own,1,004,unknown,unknown,unknown
G1_P01_20260805_own_005.mp4,G1/P01/20260805/G1_P01_20260805_own_005.mp4,G1,P01,20260805,own,1,005,unknown,unknown,unknown
G1_P02_20260725_impA_001.mp4,G1/P02/20260725/G1_P02_20260725_impA_001.mp4,G1,P02,20260725,impA,0,001,unknown,unknown,unknown
G1_P02_20260725_impA_002.mp4,G1/P02/20260725/G1_P02_20260725_impA_002.mp4,G1,P02,20260725,impA,0,002,unknown,unknown,unknown
G1_P02_20260725_impA_003.mp4,G1/P02/20260725/G1_P02_20260725_impA_003.mp4,G1,P02,20260725,impA,0,003,unknown,unknown,unknown
G1_P02_20260725_impA_004.mp4,G1/P02/20260725/G1_P02_20260725_impA_004.mp4,G1,P02,20260725,impA,0,004,unknown,unknown,unknown
G1_P02_20260725_impA_005.mp4,G1/P02/20260725/G1_P02_20260725_impA_005.mp4,G1,P02,20260725,impA,0,005,unknown,unknown,unknown
G1_P02_20260725_impA_006.mp4,G1/P02/20260725/G1_P02_20260725_impA_006.mp4,G1,P02,20260725,impA,0,006,unknown,unknown,unknown
G1_P02_20260725_impA_007.mp4,G1/P02/20260725/G1_P02_20260725_impA_007.mp4,G1,P02,20260725,impA,0,007,unknown,unknown,unknown
G1_P02_20260725_impA_008.mp4,G1/P02/20260725/G1_P02_20260725_impA_008.mp4,G1,P02,20260725,impA,0,008,unknown,unknown,unknown
G1_P02_20260725_impA_009.mp4,G1/P02/20260725/G1_P02_20260725_impA_009.mp4,G1,P02,20260725,impA,0,009,unknown,unknown,unknown
G1_P02_20260725_impA_010.mp4,G1/P02/20260725/G1_P02_20260725_impA_010.mp4,G1,P02,20260725,impA,0,010,unknown,unknown,unknown
G1_P02_20260729_impA_001.mp4,G1/P02/20260729/G1_P02_20260729_impA_001.mp4,G1,P02,20260729,impA,0,001,unknown,unknown,unknown
G1_P02_20260729_impA_002.mp4,G1/P02/20260729/G1_P02_20260729_impA_002.mp4,G1,P02,20260729,impA,0,002,unknown,unknown,unknown
G1_P02_20260731_impA_001.mp4,G1/P02/20260731/G1_P02_20260731_impA_001.mp4,G1,P02,20260731,impA,0,001,unknown,unknown,unknown
G1_P02_20260731_impA_002.mp4,G1/P02/20260731/G1_P02_20260731_impA_002.mp4,G1,P02,20260731,impA,0,002,unknown,unknown,unknown
G1_P02_20260801_impA_001.mp4,G1/P02/20260801/G1_P02_20260801_impA_001.mp4,G1,P02,20260801,impA,0,001,unknown,unknown,unknown
G1_P02_20260801_impA_002.mp4,G1/P02/20260801/G1_P02_20260801_impA_002.mp4,G1,P02,20260801,impA,0,002,unknown,unknown,unknown
G1_P02_20260802_impA_001.mp4,G1/P02/20260802/G1_P02_20260802_impA_001.mp4,G1,P02,20260802,impA,0,001,unknown,unknown,unknown
G1_P02_20260802_impA_002.mp4,G1/P02/20260802/G1_P02_20260802_impA_002.mp4,G1,P02,20260802,impA,0,002,unknown,unknown,unknown
G1_P02_20260803_impA_001.mp4,G1/P02/20260803/G1_P02_20260803_impA_001.mp4,G1,P02,20260803,impA,0,001,unknown,unknown,unknown
G1_P02_20260803_impA_002.mp4,G1/P02/20260803/G1_P02_20260803_impA_002.mp4,G1,P02,20260803,impA,0,002,unknown,unknown,unknown
G1_P02_20260804_impA_001.mp4,G1/P02/20260804/G1_P02_20260804_impA_001.mp4,G1,P02,20260804,impA,0,001,unknown,unknown,unknown
G1_P02_20260804_impA_002.mp4,G1/P02/20260804/G1_P02_20260804_impA_002.mp4,G1,P02,20260804,impA,0,002,unknown,unknown,unknown
G1_P03_20260725_impA_001.mp4,G1/P03/20260725/G1_P03_20260725_impA_001.mp4,G1,P03,20260725,impA,0,001,unknown,unknown,unknown
G1_P03_20260725_impA_002.mp4,G1/P03/20260725/G1_P03_20260725_impA_002.mp4,G1,P03,20260725,impA,0,002,unknown,unknown,unknown
G1_P03_20260725_impA_003.mp4,G1/P03/20260725/G1_P03_20260725_impA_003.mp4,G1,P03,20260725,impA,0,003,unknown,unknown,unknown
G1_P03_20260725_impA_004.mp4,G1/P03/20260725/G1_P03_20260725_impA_004.mp4,G1,P03,20260725,impA,0,004,unknown,unknown,unknown
G1_P03_20260725_impA_005.mp4,G1/P03/20260725/G1_P03_20260725_impA_005.mp4,G1,P03,20260725,impA,0,005,unknown,unknown,unknown
G1_P03_20260725_impA_006.mp4,G1/P03/20260725/G1_P03_20260725_impA_006.mp4,G1,P03,20260725,impA,0,006,unknown,unknown,unknown
G1_P03_20260725_impA_007.mp4,G1/P03/20260725/G1_P03_20260725_impA_007.mp4,G1,P03,20260725,impA,0,007,unknown,unknown,unknown
G1_P03_20260725_impA_008.mp4,G1/P03/20260725/G1_P03_20260725_impA_008.mp4,G1,P03,20260725,impA,0,008,unknown,unknown,unknown
G1_P03_20260725_impA_009.mp4,G1/P03/20260725/G1_P03_20260725_impA_009.mp4,G1,P03,20260725,impA,0,009,unknown,unknown,unknown
G1_P03_20260725_impA_010.mp4,G1/P03/20260725/G1_P03_20260725_impA_010.mp4,G1,P03,20260725,impA,0,010,unknown,unknown,unknown
G1_P03_20260803_impA_001.mp4,G1/P03/20260803/G1_P03_20260803_impA_001.mp4,G1,P03,20260803,impA,0,001,unknown,unknown,unknown
G1_P03_20260803_impA_002.mp4,G1/P03/20260803/G1_P03_20260803_impA_002.mp4,G1,P03,20260803,impA,0,002,unknown,unknown,unknown
G1_P03_20260804_impA_001.mp4,G1/P03/20260804/G1_P03_20260804_impA_001.mp4,G1,P03,20260804,impA,0,001,unknown,unknown,unknown
G1_P03_20260804_impA_002.mp4,G1/P03/20260804/G1_P03_20260804_impA_002.mp4,G1,P03,20260804,impA,0,002,unknown,unknown,unknown
G1_P03_20260805_impA_001.mp4,G1/P03/20260805/G1_P03_20260805_impA_001.mp4,G1,P03,20260805,impA,0,001,unknown,unknown,unknown
G1_P03_20260805_impA_002.mp4,G1/P03/20260805/G1_P03_20260805_impA_002.mp4,G1,P03,20260805,impA,0,002,unknown,unknown,unknown
G1_P03_20260805_impA_003.mp4,G1/P03/20260805/G1_P03_20260805_impA_003.mp4,G1,P03,20260805,impA,0,003,unknown,unknown,unknown
G1_P03_20260805_impA_004.mp4,G1/P03/20260805/G1_P03_20260805_impA_004.mp4,G1,P03,20260805,impA,0,004,unknown,unknown,unknown
G1_P04_20260725_impA_001.mp4,G1/P04/20260725/G1_P04_20260725_impA_001.mp4,G1,P04,20260725,impA,0,001,unknown,unknown,unknown
G1_P04_20260725_impA_002.mp4,G1/P04/20260725/G1_P04_20260725_impA_002.mp4,G1,P04,20260725,impA,0,002,unknown,unknown,unknown
G1_P04_20260725_impA_003.mp4,G1/P04/20260725/G1_P04_20260725_impA_003.mp4,G1,P04,20260725,impA,0,003,unknown,unknown,unknown
G1_P04_20260725_impA_004.mp4,G1/P04/20260725/G1_P04_20260725_impA_004.mp4,G1,P04,20260725,impA,0,004,unknown,unknown,unknown
G1_P04_20260725_impA_005.mp4,G1/P04/20260725/G1_P04_20260725_impA_005.mp4,G1,P04,20260725,impA,0,005,unknown,unknown,unknown
G1_P04_20260725_impA_006.mp4,G1/P04/20260725/G1_P04_20260725_impA_006.mp4,G1,P04,20260725,impA,0,006,unknown,unknown,unknown
G1_P04_20260725_impA_007.mp4,G1/P04/20260725/G1_P04_20260725_impA_007.mp4,G1,P04,20260725,impA,0,007,unknown,unknown,unknown
G1_P04_20260725_impA_008.mp4,G1/P04/20260725/G1_P04_20260725_impA_008.mp4,G1,P04,20260725,impA,0,008,unknown,unknown,unknown
G1_P04_20260725_impA_009.mp4,G1/P04/20260725/G1_P04_20260725_impA_009.mp4,G1,P04,20260725,impA,0,009,unknown,unknown,unknown
G1_P04_20260725_impA_010.mp4,G1/P04/20260725/G1_P04_20260725_impA_010.mp4,G1,P04,20260725,impA,0,010,unknown,unknown,unknown
G1_P04_20260730_impA_001.mp4,G1/P04/20260730/G1_P04_20260730_impA_001.mp4,G1,P04,20260730,impA,0,001,unknown,unknown,unknown
G1_P04_20260730_impA_002.mp4,G1/P04/20260730/G1_P04_20260730_impA_002.mp4,G1,P04,20260730,impA,0,002,unknown,unknown,unknown
G1_P04_20260802_impA_001.mp4,G1/P04/20260802/G1_P04_20260802_impA_001.mp4,G1,P04,20260802,impA,0,001,unknown,unknown,unknown
G1_P04_20260802_impA_002.mp4,G1/P04/20260802/G1_P04_20260802_impA_002.mp4,G1,P04,20260802,impA,0,002,unknown,unknown,unknown
G1_P04_20260803_impA_001.mp4,G1/P04/20260803/G1_P04_20260803_impA_001.mp4,G1,P04,20260803,impA,0,001,unknown,unknown,unknown
G1_P04_20260803_impA_002.mp4,G1/P04/20260803/G1_P04_20260803_impA_002.mp4,G1,P04,20260803,impA,0,002,unknown,unknown,unknown
G1_P04_20260804_impA_001.mp4,G1/P04/20260804/G1_P04_20260804_impA_001.mp4,G1,P04,20260804,impA,0,001,unknown,unknown,unknown
G1_P04_20260804_impA_002.mp4,G1/P04/20260804/G1_P04_20260804_impA_002.mp4,G1,P04,20260804,impA,0,002,unknown,unknown,unknown
G1_P04_20260805_impA_001.mp4,G1/P04/20260805/G1_P04_20260805_impA_001.mp4,G1,P04,20260805,impA,0,001,unknown,unknown,unknown
G1_P04_20260805_impA_002.mp4,G1/P04/20260805/G1_P04_20260805_impA_002.mp4,G1,P04,20260805,impA,0,002,unknown,unknown,unknown
G1_P05_20260725_impA_001.mp4,G1/P05/20260725/G1_P05_20260725_impA_001.mp4,G1,P05,20260725,impA,0,001,unknown,unknown,unknown
G1_P05_20260725_impA_002.mp4,G1/P05/20260725/G1_P05_20260725_impA_002.mp4,G1,P05,20260725,impA,0,002,unknown,unknown,unknown
G1_P05_20260725_impA_003.mp4,G1/P05/20260725/G1_P05_20260725_impA_003.mp4,G1,P05,20260725,impA,0,003,unknown,unknown,unknown
G1_P05_20260725_impA_004.mp4,G1/P05/20260725/G1_P05_20260725_impA_004.mp4,G1,P05,20260725,impA,0,004,unknown,unknown,unknown
G1_P05_20260725_impA_005.mp4,G1/P05/20260725/G1_P05_20260725_impA_005.mp4,G1,P05,20260725,impA,0,005,unknown,unknown,unknown
G1_P05_20260725_impA_006.mp4,G1/P05/20260725/G1_P05_20260725_impA_006.mp4,G1,P05,20260725,impA,0,006,unknown,unknown,unknown
G1_P05_20260725_impA_007.mp4,G1/P05/20260725/G1_P05_20260725_impA_007.mp4,G1,P05,20260725,impA,0,007,unknown,unknown,unknown
G1_P05_20260725_impA_008.mp4,G1/P05/20260725/G1_P05_20260725_impA_008.mp4,G1,P05,20260725,impA,0,008,unknown,unknown,unknown
G1_P05_20260725_impA_009.mp4,G1/P05/20260725/G1_P05_20260725_impA_009.mp4,G1,P05,20260725,impA,0,009,unknown,unknown,unknown
G1_P05_20260725_impA_010.mp4,G1/P05/20260725/G1_P05_20260725_impA_010.mp4,G1,P05,20260725,impA,0,010,unknown,unknown,unknown
G1_P05_20260731_impA_001.mp4,G1/P05/20260731/G1_P05_20260731_impA_001.mp4,G1,P05,20260731,impA,0,001,unknown,unknown,unknown
G1_P05_20260731_impA_002.mp4,G1/P05/20260731/G1_P05_20260731_impA_002.mp4,G1,P05,20260731,impA,0,002,unknown,unknown,unknown
G1_P05_20260801_impA_001.mp4,G1/P05/20260801/G1_P05_20260801_impA_001.mp4,G1,P05,20260801,impA,0,001,unknown,unknown,unknown
G1_P05_20260801_impA_002.mp4,G1/P05/20260801/G1_P05_20260801_impA_002.mp4,G1,P05,20260801,impA,0,002,unknown,unknown,unknown
G1_P05_20260802_impA_001.mp4,G1/P05/20260802/G1_P05_20260802_impA_001.mp4,G1,P05,20260802,impA,0,001,unknown,unknown,unknown
G1_P05_20260802_impA_002.mp4,G1/P05/20260802/G1_P05_20260802_impA_002.mp4,G1,P05,20260802,impA,0,002,unknown,unknown,unknown
G1_P05_20260803_impA_001.mp4,G1/P05/20260803/G1_P05_20260803_impA_001.mp4,G1,P05,20260803,impA,0,001,unknown,unknown,unknown
