file,width,height,fps,nb_frames,rotation,display_w,display_h,error
videos\G1\P01\20260725\G1_P01_20260725_own_001.mp4,1080,1920,27.549,80,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_002.mp4,1080,1920,30.004,75,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_003.mp4,1080,1920,23.933,56,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_004.mp4,1080,1920,23.933,63,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_005.mp4,1080,1920,23.933,60,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_006.mp4,1080,1920,29.941,83,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_007.mp4,1080,1920,23.933,95,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_008.mp4,1080,1920,23.933,96,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_009.mp4,1080,1920,29.171,75,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_010.mp4,1080,1920,29.941,119,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_011.mp4,1080,1920,23.944,91,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_012.mp4,1080,1920,23.933,114,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_013.mp4,1080,1920,23.933,59,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_014.mp4,1080,1920,23.933,59,0,1080,1920,
videos\G1\P01\20260725\G1_P01_20260725_own_015.mp4,1080,1920,23.934,68,0,1080,1920,
videos\G1\P01\20260730\G1_P01_20260730_own_001.mp4,1920,1080,30.007,90,90,1080,1920,
videos\G1\P01\20260730\G1_P01_20260730_own_002.mp4,1920,1080,30.121,73,90,1080,1920,
videos\G1\P01\20260730\G1_P01_20260730_own_003.mp4,1920,1080,30.335,69,90,1080,1920,
videos\G1\P01\20260730\G1_P01_20260730_own_004.mp4,1920,1080,30.253,73,90,1080,1920,
videos\G1\P01\20260730\G1_P01_20260730_own_005.mp4,1920,1080,30.375,81,90,1080,1920,
videos\G1\P01\20260802\G1_P01_20260802_own_001.mp4,1920,1080,30.254,85,90,1080,1920,
videos\G1\P01\20260802\G1_P01_20260802_own_002.mp4,1920,1080,29.868,84,90,1080,1920,
videos\G1\P01\20260802\G1_P01_20260802_own_003.mp4,1920,1080,30.004,59,90,1080,1920,
videos\G1\P01\20260802\G1_P01_20260802_own_004.mp4,1920,1080,29.69,75,90,1080,1920,
videos\G1\P01\20260802\G1_P01_20260802_own_005.mp4,1920,1080,29.565,63,90,1080,1920,
videos\G1\P01\20260803\G1_P01_20260803_own_001.mp4,1920,1080,29.843,87,90,1080,1920,
videos\G1\P01\20260803\G1_P01_20260803_own_002.mp4,1920,1080,30.004,67,90,1080,1920,
videos\G1\P01\20260803\G1_P01_20260803_own_003.mp4,1920,1080,29.732,71,90,1080,1920,
videos\G1\P01\20260803\G1_P01_20260803_own_004.mp4,1920,1080,30.077,85,90,1080,1920,
videos\G1\P01\20260803\G1_P01_20260803_own_005.mp4,1920,1080,30.007,82,90,1080,1920,
videos\G1\P01\20260804\G1_P01_20260804_own_001.mp4,1920,1080,29.745,88,90,1080,1920,
videos\G1\P01\20260804\G1_P01_20260804_own_002.mp4,1920,1080,30.187,85,90,1080,1920,
videos\G1\P01\20260804\G1_P01_20260804_own_003.mp4,1920,1080,29.951,88,90,1080,1920,
videos\G1\P01\20260804\G1_P01_20260804_own_004.mp4,1920,1080,30.341,89,90,1080,1920,
videos\G1\P01\20260804\G1_P01_20260804_own_005.mp4,1920,1080,30.313,97,90,1080,1920,
videos\G1\P01\20260805\G1_P01_20260805_own_001.mp4,1920,1080,29.665,78,90,1080,1920,
videos\G1\P01\20260805\G1_P01_20260805_own_002.mp4,1920,1080,29.713,74,90,1080,1920,
videos\G1\P01\20260805\G1_P01_20260805_own_003.mp4,1920,1080,30.169,81,90,1080,1920,
videos\G1\P01\20260805\G1_P01_20260805_own_004.mp4,1920,1080,30.258,73,90,1080,1920,
videos\G1\P01\20260805\G1_P01_20260805_own_005.mp4,1920,1080,30.272,81,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_001.mp4,1920,1080,30.419,61,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_002.mp4,1920,1080,29.649,50,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_003.mp4,1920,1080,29.886,56,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_004.mp4,1920,1080,30.004,60,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_005.mp4,1920,1080,29.646,60,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_006.mp4,1920,1080,29.901,55,90,1080,1920,
videos\G1\P02\20260725\G1_P02_20260725_impA_007.mp4,1920,1080,29.8,72,90,1080,1920,
