target_user,registered_gesture,category,sample_index,performer,performed_gesture,session,role,hand,imitation_target,gesture_score,user_score,gesture_pass,user_pass,accepted
P08,G5,genuine,1853,P08,G5,20260814,impA,R,P05,0.9618942896077217,0.9586228123170575,1,1,1
P08,G5,genuine,1854,P08,G5,20260814,impA,R,P05,0.9428417166668424,0.9534518867527495,1,1,1
P08,G5,genuine,1855,P08,G5,20260814,impA,R,P05,0.9893027768670978,0.9779527013578946,1,1,1
P08,G5,genuine,1856,P08,G5,20260814,impA,R,P05,0.9694138351345425,0.958613450948627,1,1,1
P08,G5,genuine,1857,P08,G5,20260815,impA,R,P05,0.980621116865086,0.9320141295431258,1,1,1
P08,G5,genuine,1858,P08,G5,20260815,impA,R,P05,0.9920756087801986,0.9489250112836682,1,1,1
P08,G5,genuine,1859,P08,G5,20260815,impA,R,P05,0.9643345844928503,0.9568206429022043,1,1,1
P08,G5,genuine,1860,P08,G5,20260815,impA,R,P05,0.9917815094705453,0.9176938025834843,1,1,1
P08,G5,genuine,1861,P08,G5,20260816,impA,R,P05,0.9766232595426849,0.9377602729011222,1,1,1
P08,G5,genuine,1862,P08,G5,20260816,impA,R,P05,0.9892586445343883,0.7620194500120894,1,0,0
P08,G5,genuine,1863,P08,G5,20260816,impA,R,P05,0.988291003215615,0.7764289944318311,1,0,0
P08,G5,genuine,1864,P08,G5,20260816,impA,R,P05,0.9875509059841273,0.9035914604806062,1,1,1
P08,G5,genuine,1865,P08,G5,20260817,impA,R,P05,0.9749301810143256,0.9580610732927848,1,1,1
P08,G5,genuine,1866,P08,G5,20260817,impA,R,P05,0.9767870077028079,0.778233869016917,1,0,0
P08,G5,genuine,1867,P08,G5,20260817,impA,R,P05,0.963251318638429,0.8585897886977427,1,1,1
P08,G5,genuine,1868,P08,G5,20260817,impA,R,P05,0.9823417037486472,0.9038799141711952,1,1,1
P08,G5,genuine,1869,P08,G5,20260818,impA,R,P05,0.9847542949667217,0.9403358574198541,1,1,1
P08,G5,genuine,1870,P08,G5,20260818,impA,R,P05,0.9810372737012425,0.9398172622964593,1,1,1
P08,G5,genuine,1871,P08,G5,20260818,impA,R,P05,0.969806450707025,0.8711904636816055,1,1,1
P08,G5,genuine,1872,P08,G5,20260818,impA,R,P05,0.9779355236875988,0.9334652881407737,1,1,1
P08,G5,wrong_gesture,296,P08,G1,20260814,impA,R,P01,0.6395753277474017,0.7961194604113946,0,0,0
P08,G5,wrong_gesture,297,P08,G1,20260814,impA,R,P01,0.6153396539213659,0.5966937421368711,0,0,0
P08,G5,wrong_gesture,298,P08,G1,20260814,impA,R,P01,0.5462973963295853,0.7144074666953336,0,0,0
P08,G5,wrong_gesture,299,P08,G1,20260814,impA,R,P01,0.5760976222921237,0.7969219155387716,0,0,0
P08,G5,wrong_gesture,300,P08,G1,20260815,impA,R,P01,0.6890028362403977,0.7573113545134841,0,0,0
P08,G5,wrong_gesture,301,P08,G1,20260815,impA,R,P01,0.6851867604307127,0.790934516357368,0,0,0
